Date : 2026-01-14 14:07:12
Directory : c:\Users\Lzx_8\Documents\github\e_monopoly\src
Total : 66 files,  5751 codes, 14 comments, 874 blanks, all 6639 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Lua      |         66 |      5,751 |         14 |        874 |      6,639 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |         66 |      5,751 |         14 |        874 |      6,639 |
| . (Files)                                                                                   |          1 |        183 |          0 |         36 |        219 |
| adapters                                                                                    |          9 |      1,168 |          0 |        164 |      1,332 |
| adapters\love2d                                                                             |          9 |      1,168 |          0 |        164 |      1,332 |
| config                                                                                      |          6 |        255 |          6 |         32 |        293 |
| core                                                                                        |          5 |        354 |          8 |         60 |        422 |
| gameplay                                                                                    |         41 |      3,685 |          0 |        561 |      4,246 |
| gameplay\ai                                                                                 |          1 |        223 |          0 |         35 |        258 |
| gameplay\app                                                                                |         23 |      1,521 |          0 |        267 |      1,788 |
| gameplay\app (Files)                                                                        |          5 |        520 |          0 |         75 |        595 |
| gameplay\app\bootstrap                                                                      |          1 |         84 |          0 |         11 |         95 |
| gameplay\app\factories                                                                      |          1 |         25 |          0 |          8 |         33 |
| gameplay\app\services                                                                       |          8 |        635 |          0 |        132 |        767 |
| gameplay\app\turn                                                                           |          6 |        186 |          0 |         28 |        214 |
| gameplay\app\usecases                                                                       |          2 |         71 |          0 |         13 |         84 |
| gameplay\domain                                                                             |         14 |      1,815 |          0 |        231 |      2,046 |
| gameplay\infra                                                                              |          2 |         85 |          0 |         19 |        104 |
| gameplay\ports                                                                              |          1 |         41 |          0 |          9 |         50 |
| util                                                                                        |          4 |        106 |          0 |         21 |        127 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                    | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\adapters\love2d\auto_runner.lua              | Lua      |         47 |          0 |         12 |         59 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\adapters\love2d\board_renderer.lua           | Lua      |        163 |          0 |         21 |        184 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\adapters\love2d\layout.lua                   | Lua      |        102 |          0 |         10 |        112 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\adapters\love2d\love_layer.lua               | Lua      |        218 |          0 |         29 |        247 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\adapters\love2d\love_runtime.lua             | Lua      |        148 |          0 |         25 |        173 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\adapters\love2d\modal.lua                    | Lua      |        154 |          0 |         23 |        177 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\adapters\love2d\panel_renderer.lua           | Lua      |        226 |          0 |         29 |        255 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\adapters\love2d\presenter.lua                | Lua      |         38 |          0 |         10 |         48 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\adapters\love2d\ui_state.lua                 | Lua      |         72 |          0 |          5 |         77 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\app.lua                                      | Lua      |        183 |          0 |         36 |        219 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\config\chance_cards.lua                      | Lua      |         37 |          0 |          2 |         39 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\config\constants.lua                         | Lua      |         14 |          0 |          2 |         16 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\config\items.lua                             | Lua      |         50 |          0 |          7 |         57 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\config\map.lua                               | Lua      |        100 |          6 |         17 |        123 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\config\roles.lua                             | Lua      |          6 |          0 |          2 |          8 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\config\tiles.lua                             | Lua      |         48 |          0 |          2 |         50 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\core\board.lua                               | Lua      |        124 |          8 |         20 |        152 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\core\dice.lua                                | Lua      |         26 |          0 |          4 |         30 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\core\inventory.lua                           | Lua      |         55 |          0 |         11 |         66 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\core\player.lua                              | Lua      |        102 |          0 |         16 |        118 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\core\tile.lua                                | Lua      |         47 |          0 |          9 |         56 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\ai\agent.lua                        | Lua      |        223 |          0 |         35 |        258 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\bootstrap\init.lua              | Lua      |         84 |          0 |         11 |         95 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\choice.lua                      | Lua      |         37 |          0 |          7 |         44 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\choice_resolver.lua             | Lua      |        327 |          0 |         38 |        365 |
